#-------------------------------
# The Ultimate Trial
# Boss Rush Mode
#-------------------------------
# Set: The Mansion of Mystery
#-------------------------------
[KEINE,Keine Kamishirasawa,500]
	IV = 31,31,31,31,31,31
	EV = 252,252,4,0,0,0
	Ability = COLLECTOR
Pokemon = ANITORI,100
	Moves = WATERFALL18,VOLTTACKLE18,ICEPUNCH18,HEARTBREAK18
	Nature = ADAMANT
	Item = CHOICESCARF
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = RAINDISH
Pokemon = MIMA,100
	Moves = HYPERBEAM18,SHADOWBALL18,THUNDERBOLT18,TAUNT18
	Nature = MODEST
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,0,0,252,4
Pokemon = AMARISA,100
	Moves = THUNDERBOLT18,HEATWAVE18,NASTYPLOT18,HYPERBEAM18
	Nature = TIMID
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = COLLECTOR
Pokemon = PATCHOULI,100
    Moves = MANABURST18,FLAMETHROWER18,EARTHPOWER18,TRIATTACK18
	Nature = MODEST
	Item = ASSAULTVEST
	IV = 31,31,31,31,31,31
	EV = 252,0,0,0,252,4
#-------------------------------
[YOUMU,Youmu Konpaku,500]
Pokemon = MEIRA,100
    Moves = DRAWNLINE18,LEAFBLADE18,BRICKBREAK18,NIGHTSLASH18
	Nature = ADAMANT
	Item = CHOICEBAND
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
Pokemon = YOUMU,100
    Moves = BATTLECHANT18,SHADOWHIT18,VITALTHROW18,HIJUMPKICK18
	Nature = ADAMANT
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = INNERFOCUS
Pokemon = DMOMIJI,100
    Moves = BRAVER18,CRUNCH18,REST18,SLEEPTALK18
	Nature = IMPISH
	Item = CHESTOBERRY
	IV = 31,31,31,31,31,31
	EV = 252,4,252,0,0,0
	Ability = EARLYBIRD
Pokemon = TREISEN,100
    Moves = HYPNOSIS18,MISTBALL18,ICEBEAM18,LIGHTSCREEN18
	Nature = TIMID
	Item = WIDELENS
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = SYOUMU,100
    Moves = SWORDSDANCE18,BATTLECHANT18,SHADOWHIT18,POISONJAB18
	Nature = JOLLY
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
Pokemon = DYUYUKO,100
    Moves = SHADOWBALL18,GIGADRAIN18,CURSE18,REST18
	Nature = CALM
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,4,0,0,252
#-------------------------------
[LYRICA,Lyrica Prismriver,500]
Pokemon = HMYSTIA,100
    Moves = JAMMING18,AIRSLASH18,ROOST18,PERISHSONG18
	Nature = BOLD
	Item = SITRUSBERRY
	IV = 31,31,31,31,31,31
	EV = 252,0,252,4,0,0
	Ability = CUTECHARM
Pokemon = STAR,100
    Moves = RECOVER18,GIGADRAIN18,WATERPULSE18,ICEBEAM18
	Nature = CALM
	Item = ANTIMIASMA
	IV = 31,31,31,31,31,31
	EV = 252,0,4,0,0,252
Pokemon = KANA,100
    Moves = PERISHSONG18,CONFUSERAY18,SHADOWBALL18,HYPERVOICE18
	Nature = CALM
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 252,0,0,0,4,252
	Ability = SOUNDPROOF
Pokemon = TKYOUKO,100
    Moves = BRICKBREAK18,BODYSLAM18,FORCEPALM18,TOXIC18
	Nature = IMPISH
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,252,0,0,4
	Ability = SOUNDPROOF
Pokemon = RAIKO,100
    Moves = SHADOWBALL18,AEROBLAST18,MANABURST18,TRIATTACK18
	Nature = MODEST
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = LEVITATE
Pokemon = LYRICA,100
    Moves = SHADOWBALL18,HYPERVOICE18,THUNDERBOLT18,SONICBOOM18
	Nature = TIMID
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = SOUNDPROOF
#-------------------------------
[MYSTIA,Mystia Lorelei,500]
Pokemon = MYSTIA,100
    Moves = FURYSWIPES18,SOAR18,HEARTBREAK18,ROOST18
	Nature = JOLLY
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = CUTECHARM
Pokemon = SWRIGGLE,100
    Moves = NATURESOUND18,HEATWAVE18,AEROBLAST18,POISONBOMB18
	Nature = MODEST
	Item = CHOICESPECS
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = ARUMIA,100
    Moves = SWORDSDANCE18,NIGHTSLASH18,POISONJAB18,FIREPUNCH18
	Nature = ADAMANT
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
Pokemon = SCIRNO,100
    Moves = AQUAJET18,SUPERPOWER18,ICEBEAM18,THUNDERPUNCH18
	Nature = NAUGHTY
	Item = WEAKNESSPOLICY
	IV = 31,31,31,31,31,31
	EV = 0,252,0,252,4,0
	Ability = GUTS
Pokemon = KYOUKO,100
    Moves = HYPERVOICE18,NATURESOUND18,BINDINGVOICE18,SIGNALBEAM18
	Nature = MODEST
	Item = ASSAULTVEST
	IV = 31,31,31,31,31,31
	EV = 4,0,0,0,252,252
	Ability = SOUNDPROOF
Pokemon = ADMYSTIA,100
    Moves = SAFEGUARD18,ROOST18,CHARGEBEAM18,AIRSLASH18
	Nature = BOLD
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,252,0,4,0
#-------------------------------
[PRISMRIVER,Prismriver Sisters,500]
Pokemon = RAIKO,100
    Moves = SHADOWBALL18,AEROBLAST18,MANABURST18,TRIATTACK18
	Nature = MODEST
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = LEVITATE
Pokemon = LYRICA,100
    Moves = SHADOWBALL18,HYPERVOICE18,THUNDERBOLT18,SONICBOOM18
	Nature = TIMID
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = SOUNDPROOF
Pokemon = LUNA,100
    Moves = NASTYPLOT18,THUNDERBOLT18,ENERGYLIGHT18,LUNATIC18
	Nature = TIMID
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = LUNASA,100
    Moves = ICYWIND18,PAINSPLIT18,POISONBOMB18,SHADOWBALL18
	Nature = MODEST
	Item = ANTINETHER
	IV = 31,31,31,31,31,31
	EV = 252,0,0,0,252,4
	Ability = GUARDARMOR
Pokemon = RIN,100
    Moves = FLAREBLITZ18,CRUNCH18,SHADOWHIT18,SUNNYDAY18
	Nature = JOLLY
	Item = HEATROCK
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = INTIMIDATE
Pokemon = MERLIN,100
    Moves = PERFORMANCE18,SIGNALBEAM18,NASTYPLOT18,THUNDERWAVE18
	Nature = TIMID
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = SERENEGRACE
Pokemon = LAYLA,100
    Moves = CALMMIND18,MANABURST18,SHADOWBALL18,HYPERVOICE18
	Nature = MODEST
	Item = WEAKNESSPOLICY
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
#-------------------------------
[NUE,Nue Houjuu,500]
Pokemon = MAMIZOU,100
	Moves = SPIKES18,BELLYDRUM18,BATONPASS18,NATUREPOWER18
	Nature = TIMID
	Item = SITRUSBERRY
	IV = 31,31,31,31,31,31
	EV = 252,0,0,252,4,0
	Ability = KEENEYE
Pokemon = TNUE,100
	Moves = NASTYPLOT18,POISONBOMB18,THUNDERBOLT18,FLAMETHROWER18
	Nature = TIMID
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = PRESSURE
Pokemon = SSEIGA,100
	Moves = WISH18,MANABURST18,DARKPULSE18,TOXIC18
	Nature = TIMID
	Item = MISTRESS
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = DSATORI,100
	Moves = COUNTER18,MIRRORCOAT18,ENCORE18,DESTINYBOND18
	Nature = CALM
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,4,0,0,252
Pokemon = ANUE,100
	Moves = SWORDSDANCE18,BRAVEBIRD18,POISONJAB18,ICEPUNCH18
	Nature = JOLLY
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = PRESSURE
Pokemon = SEIJA,100
    Moves = OUTRAGE18,MINDBOMB18,BRICKBREAK18,FOCUSPUNCH18
	Nature = JOLLY
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = OWNTEMPO
#-------------------------------
[KOGASA,Kogasa Tarara,500]
Pokemon = HYOSHIKA,100
	Moves = WILLOWISP18,WISH18,POISONJAB18,SHADOWHIT18
	Nature = CAREFUL
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,4,0,0,0,252
	Ability = PRESSURE
Pokemon = SANAE,100
	Moves = EXTRASENSORY18,CALMMIND18,WISH18,AEROBLAST18
	Nature = MODEST
	Item = WEAKNESSPOLICY
	IV = 31,31,31,31,31,31
	EV = 252,0,4,0,252,0
Pokemon = DREIMU,100
	Moves = FORCEPALM18,DRAINPUNCH18,CURSE18,ROCKBULLET18
	Nature = ADAMANT
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 252,252,4,0,0,0
Pokemon = TPARSEE,100
	Moves = POISONBOMB18,WILLOWISP18,SIGNALBEAM18,DESTINYBOND18
	Nature = BOLD
	Item = ANTIEARTH
	IV = 31,31,31,31,31,31
	EV = 252,0,252,0,4,0
	Ability = INSOMNIA
Pokemon = MIMA,100
	Moves = HYPERBEAM18,SHADOWBALL18,THUNDERBOLT18,SECRETPOWER18
	Nature = MODEST
	Item = ASSAULTVEST
	IV = 31,31,31,31,31,31
	EV = 252,0,0,0,252,4
Pokemon = SKOGASA,100
	Moves = DISABLE18,SHADOWBALL18,DESTINYBOND18,ICEBEAM18
	Nature = TIMID
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
#-------------------------------
[LAYLA,Layla Prismriver,500]
Pokemon = YUMEMI,100
	Moves = ICEBEAM18,MIRRORCOAT18,MANABURST18,FIREBLAST18
Pokemon = RIKAKO,100
	Moves = AGILITY18,MANABURST18,DISCHARGE18,MAGICCOAT18
Pokemon = AEIRIN,100
	Moves = POISONJAB18,ZENHEADBUTT18,BURNPOWDER18,CURSE18
Pokemon = SSEIGA,100
	Moves = MANABURST18,DARKPULSE18,NASTYPLOT18,LUSTERPURGE18
Pokemon = AYAKASHI,100
	Moves = SYNTHESIS18,POWERWHIP18,LEECHSEED18,SHADOWBALL18
	Ability = ABYSSALDRAIN
Pokemon = LAYLA,100
	Moves = PSYCHOBOOST18,CALMMIND18,PERFORMANCE18,CURSE18
	Shiny = true
#-------------------------------
# Set: The Festival of Curses
#-------------------------------
[KOKORO,Hata no Kokoro,500]
Pokemon = AMIKO,100
    Moves = BRAVER18,SACREDFIRE18,SWORDSDANCE18,PSYCHOCUT18
	Nature = ADAMANT
	Item = CHOICEBAND
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
Pokemon = TBYAKUREN,100
    Moves = FIREPUNCH18,SACREDFIRE18,ICEPUNCH18,ZENHEADBUTT18
	Nature = CAREFUL
	Item = ASSAULTVEST
	IV = 31,31,31,31,31,31
	EV = 0,252,0,4,0,252
Pokemon = KOKORO,100
    Moves = SHADOWDANCE18,TORMENT18,SIGNALBEAM18,LEAFBLADE18
	Nature = NAIVE
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 0,128,0,252,128,0
Pokemon = SKOISHI,100
    Moves = ENERGYBALL18,MISTBALL18,FAKEOUT18,SHADOWBALL18
	Nature = TIMID
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = REIMU,100
    Moves = TAILWIND18,SOAR18,FORCEPALM18,BRICKBREAK18
	Nature = JOLLY
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
Pokemon = MAMIZOU,100
    Moves = BATONPASS18,SUBSTITUTE18,BELLYDRUM18,KILLINGBITE18
	Nature = JOLLY
	Item = SITRUSBERRY
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
#-------------------------------
[MINORIKO,Minoriko Aki,500]
Pokemon = KANAKO,100
    Moves = ENERGYLIGHT18,SILVERWIND18,SUNNYDAY18,SOLARBEAM18
	Nature = MODEST
	Item = SITRUSBERRY
	IV = 31,31,31,31,31,31
	EV = 252,0,4,0,252,0
Pokemon = TAYA,100
    Moves = BRAVEBIRD18,AEROBLAST18,NASTYPLOT18,HEATWAVE18
	Nature = MILD
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 0,4,0,252,252,0
	Ability = SPEEDBOOST
Pokemon = SHIZUHA,100
    Moves = CALMMIND18,WISH18,EXTRASENSORY18,NATURESOUND18
	Nature = TIMID
	Item = WEAKNESSPOLICY
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = CHLOROPHYLL
Pokemon = MINORIKO,100
    Moves = SOLARBEAM18,LEECHSEED18,HEATWAVE18,SUNNYDAY18
	Nature = CALM
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,4,0,0,252
	Ability = CHLOROPHYLL
Pokemon = AKISISTERS,100
    Moves = SWORDSDANCE18,POWERWHIP18,EARTHQUAKE18,COUNTER18
	Nature = ADAMANT
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 252,252,0,4,0,0
	Ability = CHLOROPHYLL
Pokemon = TYUUKA,100
    Moves = SOLARBEAM18,ANCIENTPOWER18,TAUNT18,HEARTBREAK18
	Nature = TIMID
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
#-------------------------------
[NITORI_Tr,Nitori Kawashiro,500]
Pokemon = ANITORI,100
    Moves = RAINDANCE18,VOLTTACKLE18,PSYCHOCUT18,WATERFALL18
	Nature = JOLLY
	Item = DAMPROCK
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = SWIFTSWIM
Pokemon = RIKAKO,100
    Moves = PSYCHOBOOST18,DISCHARGE18,MANABURST18,DOUBLETEAM18
	Nature = MODEST
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = SANAE,100
    Moves = CALMMIND18,EXTRASENSORY18,AEROBLAST18,RAINDANCE18
	Nature = MODEST
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,0,252,4,0
Pokemon = RIKA,100
    Moves = HYPERBEAM18,LUNATIC18,ICEBEAM18,GIGADRAIN18
	Nature = MODEST
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 252,0,4,0,252,0
Pokemon = TENSOKU,100
    Moves = METEORMASH18,BLAZEKICK18,THUNDERPUNCH18,POISONJAB18
	Nature = ADAMANT
	Item = CHOICEBAND
	IV = 31,31,31,31,31,31
	EV = 252,252,4,0,0,0
Pokemon = TKOGASA,100
    Moves = WATERPULSE18,DESTINYBOND18,OMINOUSWIND18,ICYWIND18
	Nature = TIMID
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
#-------------------------------
[HATATE,Hatate Himekaidou,500]
Pokemon = MARISA,100
    Moves = PSYCHOBOOST18,THUNDERBOLT18,FLAMETHROWER18,HYPERBEAM18
	Nature = TIMID
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = COLLECTOR
Pokemon = TSUMIREKO,100
    Moves = DRACOMETEOR18,NASTYPLOT18,REST18,MANABURST18
	Nature = CALM
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,4,0,0,252
	Ability = LUCIDDREAMING
Pokemon = HKAGEROU,100
    Moves = NIGHTSLASH18,SLACKOFF18,SLASH18,SPIKES18
	Nature = IMPISH
	Item = ANTIPYRO
	IV = 31,31,31,31,31,31
	EV = 252,4,252,0,0,0
	Ability = INTIMIDATE
Pokemon = HATATE,100
    Moves = AIRSLASH18,NASTYPLOT18,ICYWIND18,MANABURST18
	Nature = TIMID
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = TENMA,100
    Moves = ANCIENTPOWER18,AIRSLASH18,ROOST18,HEATWAVE18
	Nature = TIMID
	Item = WEAKNESSPOLICY
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = NITORI,100
    Moves = DISCHARGE18,HYDROPUMP18,LIGHTSCREEN18,ICEBEAM18
	Nature = MODEST
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 252,0,0,4,252,0
#-------------------------------
[HINA_F,Hina Kagiyama,500]
Pokemon = DHINA,84
Pokemon = ASUWAKO,84
Pokemon = DPARSEE,85
Pokemon = EIRIN,85
Pokemon = AHINA,87
Pokemon = JUNKO,87
#-------------------------------
[THREEFAIRY,of Light,500]
Pokemon = IKU,100
    Moves = RAINDANCE18,THUNDER18,SIGNALBEAM18,MIRRORCOAT18
	Nature = CALM
	Item = SITRUSBERRY
	IV = 31,31,31,31,31,31
	EV = 252,0,0,0,4,252
	Ability = STATIC
Pokemon = YUKI,100
    Moves = DARKPULSE18,SUNNYDAY18,LAVAPLUME18,COUNTER18
	Nature = TIMID
	Item = HEATROCK
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = SUWAKO,100
    Moves = EARTHPOWER18,HYDROPUMP18,DECISION18,MANABURST18
	Nature = TIMID
	Item = ASSAULTVEST
	IV = 31,31,31,31,31,31
	EV = 0,0,0,252,252,4
Pokemon = MARISA,100
    Moves = PSYCHOBOOST18,THUNDERBOLT18,FLAMETHROWER18,HYPERBEAM18
	Nature = TIMID
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = COLLECTOR
Pokemon = DKAGUYA,100
    Moves = RAINDANCE18,RECOVER18,WATERPULSE18,GIGADRAIN18
	Nature = BOLD
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,252,0,0,4
	Ability = NATURALCURE
Pokemon = UTSUHO,100
    Moves = FLAMETHROWER18,AIRSLASH18,SOLARBEAM18,SELFDESTRUCT18
	Nature = HASTY
	Item = BLAZESPHERE
	IV = 31,31,31,31,31,31
	EV = 0,4,0,252,252,0
Pokemon = HSTAR,100
    Moves = RECOVER18,ICYWIND18,MUDDYWATER18,GIGADRAIN18
	Nature = BOLD
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,252,0,4,0
Pokemon = ASUNNY,100
    Moves = FRENZYPLANT18,BLASTBURN18,FAKEOUT18,SUBSTITUTE18
	Nature = HASTY
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 0,4,0,252,252,0
Pokemon = TLUNA,75
    Moves = THUNDER18,ENERGYLIGHT18,WISH18,TOXIC18
	Nature = TIMID
	Item = GUSTSPHERE
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
#-------------------------------
[MEDICINE_Tr,Medicine Melancholy,500]
Pokemon = HEIRIN,100
	Moves = BURNPOWDER18,MUDDYWATER18,AQUASHOWER18,CONFUSERAY18
	Ability = SYNCHRONIZE
	Ball = CHERISHORB
Pokemon = MEDICINE,100
	Moves = ENERGYLIGHT18,POISONBOMB18,INGRAIN18,LEECHSEED18
	Ability = CHLOROPHYLL
	Ball = CHERISHORB
Pokemon = ARUMIA,100
	Moves = NIGHTSLASH18,TORMENT18,SWORDSDANCE18,FIREPUNCH18
	Ball = CHERISHORB
Pokemon = NUE,100
	Moves = AIRSLASH18,CROSSPOISON18,SAFEGUARD18,RECOVER18
	Ability = MYSTERIOUS
	Ball = CHERISHORB
Pokemon = SSEIGA,100
	Moves = HYPNOSIS18,DARKPULSE18,MANABURST18,DIG18
	Ball = CHERISHORB
Pokemon = SMEDICINE,100
	Moves = SLEEPPOWDER18,POISONBOMB18,GIGADRAIN18,CURSE18
	Ability = POISONBODY
	Ball = CHERISHORB
#-------------------------------
[ELLY,Elly,500]
Pokemon = ADMEILING,100
	Moves = VITALTHROW18,FAKEOUT18,STEELFIST18,DYNAMICPUNCH18
	Nature = ADAMANT
	Item = ASSAULTVEST
	IV = 31,31,31,31,31,31
	EV = 4,252,0,0,0,252
Pokemon = KURUMI,100
	Moves = DREAMEATER18,THUNDERBOLT18,AIRSLASH18,LOVELYKISS18
	Nature = MODEST
	Item = SITRUSBERRY
	IV = 31,31,31,31,31,31
	EV = 252,0,0,0,252,4
	Ability = SYNCHRONIZE
Pokemon = MEIRA,100
	Moves = TAILWIND18,DRAWNLINE18,NIGHTSLASH18,LEAFBLADE18
	Nature = ADAMANT
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
Pokemon = KAZAMI,100
	Moves = GIGADRAIN18,DARKPULSE18,YAWN18,SYNTHESIS18
	Nature = BOLD
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,252,0,4,0
	Ability = OVERGROW
Pokemon = ELLY,100
	Moves = FIREPUNCH18,DRAWNLINE18,ICEPUNCH18,ICEPUNCH18
	Nature = ADAMANT
	Item = POWERRIBBON
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
Pokemon = GENGETSU,100
    Moves = AIRSLASH18,HYPERBEAM18,LUNATIC18,ICEBEAM18
	Nature = MODEST
	Item = EXPERTBELT
	IV = 31,31,31,31,31,31
	EV = 0,0,4,252,252,0
	Ability = PRESSURE
#-------------------------------
[YUUKA,Yuuka Kazami,500]
Pokemon = ATENSHI,100
	Moves = SWORDSDANCE18,EARTHQUAKE18,NEEDLEARM18,DRAWNLINE18
	Item = LUMBERRY
	Nature = JOLLY
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = STURDY
Pokemon = AMEDICINE,100
	Moves = SYNTHESIS18,SUNNYDAY18,POISONBOMB18,NATURESOUND18
	Item = HEATROCK
	Nature = MODEST
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
	Ability = CHLOROPHYLL
Pokemon = ALILYWHITE,100
	Moves = FAKEOUT18,BODYSLAM18,GIGAIMPACT18,STEELFIST18
	Item = ASSAULTVEST
	Nature = ADAMANT
	IV = 31,31,31,31,31,31
	EV = 4,252,0,0,0,252
Pokemon = KIRISAME,100
	Moves = AEROBLAST18,DARKPULSE18,MANABURST18,SIGNALBEAM18
	Ability = FLASHFIRE
	Item = LIFEORB
	Nature = TIMID
	IV = 31,31,31,31,31,31
	EV = 4,0,0,252,252,0
Pokemon = AKISISTERS,100
	Moves = SUNNYDAY18,POWERWHIP18,EARTHQUAKE18,POISONJAB18
	Item = LEFTOVERS
	Nature = ADAMANT
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = CHLOROPHYLL
Pokemon = AKAZAMI,100
	Moves = POWERWHIP18,SOAR18,HEARTBREAK18,HIJUMPKICK18
	Item = EXPERTBELT
	Nature = JOLLY
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = OVERGROW
#-------------------------------
# Set: The Kingdom of Lunacy
#-------------------------------
[REISEN,Reisen U. Inaba,500]
Pokemon = SYOUMU,100
	Moves = BATTLECHANT18,SHADOWHIT18,HIJUMPKICK18,SWORDSDANCE18
	Nature = JOLLY
    Item = LUMBERRY
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = INNERFOCUS
Pokemon = MEDICINE,100
	Moves = POISONBOMB18,LEECHSEED18,TOXIC18,SYNTHESIS18
	Nature = CALM
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,4,0,0,252
	Ability = POISONBODY
Pokemon = REISEN,100
	Moves = SIGNALBEAM18,DREAMEATER18,MANABURST18,MANACHARGE18
	Nature = TIMID
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = INSOMNIA

#-------------------------------
[EIRIN,Eirin Yagokoro,500]
Pokemon = DKAGUYA,100
	Moves = MUDDYWATER18,GIGADRAIN18,RECOVER18,TOXIC18
	Nature = BOLD
    Item = LEFTOVERS
    IV = 31,31,31,31,31,31
    EV = 252,0,252,0,4,0
	Ability = NATURALCURE
Pokemon = TYAMAME,100
	Moves = NASTYPLOT18,EARTHPOWER18,POISONBOMB18,SHADOWBALL18
	Nature = TIMID
    Item = LIFEORB
    IV = 31,31,31,31,31,31
    EV = 4,0,0,252,252,0
	Ability = INFECTIOUS
Pokemon = EIRIN,100
	Moves = POISONBOMB18,TRIATTACK18,MANABURST18,RECOVER18
	Nature = MODEST
    Item = EXPERTBELT
    IV = 31,31,31,31,31,31
    EV = 252,0,0,0,252,4
	Ability = SYNCHRONIZE
#-------------------------------
[SEIRAN,Seiran,500]
Pokemon = MEIRA,100
    Ball = MOONBALL
	Moves = TAILWIND18,LEAFBLADE18,DRAWNLINE18,NIGHTSLASH18
	Nature = JOLLY
    Item = LUMBERRY
    IV = 31,31,31,31,31,31
    EV = 4,252,0,252,0,0
	Ability = INNERFOCUS
Pokemon = REISEN,100
